# DERIVED by validation/catalog_coverage.py -- do not hand-edit.
# route_id | role | species (semicolon separated)
# role: feedstock (consumed, never made) | intermediate (both) |
#       product (made, never consumed) | catalyst (both sides of
#       one step). See tools/catalog.py for why this is derived.
lead-chamber | feedstock | oxygen;sulfur-s8
tnt-route | product | tnt;water
tnt-route | catalyst | sulfuric-acid
picric-acid-route | feedstock | nitric-acid;phenol
picric-acid-route | intermediate | benzenesulfonic-acid;sulfuric-acid
picric-acid-route | product | picric-acid;water
rdx-route | feedstock | ammonia;nitric-acid
rdx-route | intermediate | formaldehyde;hexamethylenetetramine
rdx-route | product | rdx;water
petn-route | feedstock | acetaldehyde;calcium-hydroxide;formaldehyde;nitric-acid
petn-route | intermediate | pentaerythritol
petn-route | product | calcium-formate;petn;water
mercury-fulminate-route | feedstock | ethanol;mercury;nitric-acid
mercury-fulminate-route | product | mercury-fulminate;nitric-oxide;water
coal-tar-distillation | feedstock | coal-tar-marker
coal-tar-distillation | product | anthracene;benzene;carbazole;naphthalene;o-xylene;phenol;pyridine;quinoline;toluene
coal-gas | feedstock | coal-marker
coal-gas | product | ammonia;carbon-graphite;carbon-monoxide;coal-tar-marker;hydrogen;methane
benzene-nitration | feedstock | benzene;nitric-acid
benzene-nitration | intermediate | arenium-benzene;bisulfate-ion;nitronium;sulfuric-acid
benzene-nitration | product | nitrobenzene;water
aniline-route | feedstock | hydrogen;hydrogen-chloride;iron;nitrobenzene
aniline-route | product | aniline;iron-iii-oxide;water
aniline-route | catalyst | copper
mauveine-route | feedstock | aniline;o-toluidine;p-toluidine;potassium-dichromate
mauveine-route | product | mauveine-a;water
alizarin-route | feedstock | anthracene;disulfuric-acid;potassium-dichromate;potassium-nitrate;sodium-hydroxide
alizarin-route | intermediate | anthraquinone;anthraquinone-2-sulfonic-acid
alizarin-route | product | alizarin;sodium-sulfite;water
indigo-baeyer-drewson | feedstock | acetone;manganese-dioxide;nitric-acid;sodium-hydroxide;toluene
indigo-baeyer-drewson | intermediate | 2-nitrobenzaldehyde;2-nitrotoluene
indigo-baeyer-drewson | product | acetic-acid;indigo;water
indigo-baeyer-drewson | catalyst | sulfuric-acid
indigo-heumann | feedstock | aniline;chloroacetic-acid;oxygen;sodium-amide;sodium-hydroxide
indigo-heumann | intermediate | indoxyl;n-phenylglycine
indigo-heumann | product | hydrogen-chloride;indigo;water
azo-dye-coupling | feedstock | n,n-dimethylaniline;sodium-nitrite;sulfanilic-acid
azo-dye-coupling | intermediate | benzenediazonium-chloride;hydrogen-chloride
azo-dye-coupling | product | methyl-orange;sodium-chloride;water
triarylmethane-dyes | feedstock | benzaldehyde;hydrogen-chloride;lead-iv-oxide;n,n-dimethylaniline
triarylmethane-dyes | intermediate | leucomalachite-green
triarylmethane-dyes | product | malachite-green;water
prussian-blue-route | feedstock | iron;iron-iii-sulfate;potassium-carbonate
prussian-blue-route | intermediate | potassium-ferrocyanide
prussian-blue-route | product | carbon-dioxide;potassium-sulfate;prussian-blue
white-lead-route | feedstock | carbon-dioxide;lead;oxygen
white-lead-route | intermediate | acetic-acid;lead-acetate;water
white-lead-route | product | basic-lead-carbonate
vermilion-route | feedstock | mercury;sulfur-s8
vermilion-route | product | mercury-sulfide
chrome-yellow-route | feedstock | lead-acetate;potassium-chromate
chrome-yellow-route | product | chrome-yellow;potassium-acetate
phenol-cumene | feedstock | benzene;oxygen;propylene
phenol-cumene | intermediate | cumene;cumene-hydroperoxide
phenol-cumene | product | acetone;phenol
phenol-cumene | catalyst | phosphoric-acid;sulfuric-acid
phenol-dow | feedstock | benzene;chlorine;sodium-hydroxide
phenol-dow | intermediate | chlorobenzene;hydrogen-chloride;sodium-phenoxide
phenol-dow | product | phenol;sodium-chloride
phenol-dow | catalyst | iron-iii-chloride
phenol-sulfonation | feedstock | benzene;sodium-hydroxide;sulfuric-acid
phenol-sulfonation | intermediate | benzenesulfonic-acid;sodium-phenoxide
phenol-sulfonation | product | phenol;sodium-bisulfate;sodium-sulfite;water
bakelite-route | feedstock | formaldehyde;phenol
bakelite-route | intermediate | resole-unit
bakelite-route | product | bakelite-unit;water
bakelite-route | catalyst | sodium-hydroxide
salicylic-kolbe | feedstock | carbon-dioxide;phenol;sodium-hydroxide;sulfuric-acid
salicylic-kolbe | intermediate | sodium-phenoxide;sodium-salicylate
salicylic-kolbe | product | salicylic-acid;sodium-bisulfate;water
aspirin-route | feedstock | acetic-anhydride;salicylic-acid;water
aspirin-route | product | acetic-acid
aspirin-route | catalyst | aspirin;sulfuric-acid
paracetamol-route | feedstock | acetic-anhydride;hydrogen;nitrobenzene
paracetamol-route | intermediate | 4-aminophenol;phenylhydroxylamine
paracetamol-route | product | acetic-acid;paracetamol;water
paracetamol-route | catalyst | platinum;sulfuric-acid
phenacetin-route | feedstock | 4-nitrophenol;acetic-anhydride;bromoethane;hydrogen;sodium-hydroxide
phenacetin-route | intermediate | 4-nitrophenetole;p-phenetidine
phenacetin-route | product | acetic-acid;phenacetin;sodium-bromide;water
phenacetin-route | catalyst | nickel
salicin-hydrolysis | feedstock | oxygen;salicin
salicin-hydrolysis | intermediate | hydrogen-peroxide;salicyl-alcohol;salicylaldehyde;water
salicin-hydrolysis | product | glucose;salicylic-acid
sulfa-drug-route | feedstock | acetic-anhydride;ammonia;aniline;chlorosulfonic-acid
sulfa-drug-route | intermediate | 4-acetamidobenzenesulfonamide;4-acetamidobenzenesulfonyl-chloride;acetanilide;hydrogen-chloride;water
sulfa-drug-route | product | acetic-acid;ammonium-chloride;sulfanilamide
prontosil-route | feedstock | m-phenylenediamine;sodium-nitrite;sulfanilamide
prontosil-route | intermediate | hydrogen-chloride;sulfanilamide-diazonium
prontosil-route | product | prontosil;sodium-chloride;water
penicillin-route | feedstock | 4-hydroxyphenylglycine;ammonium-sulfate;glucose
penicillin-route | intermediate | 6-apa;penicillin-g;phenylacetic-acid;water
penicillin-route | product | amoxicillin;carbon-dioxide
aspirin-impurity | feedstock | aspirin;water
aspirin-impurity | product | acetic-acid;salicylic-acid
chloroform-route | feedstock | acetone;calcium-hypochlorite
chloroform-route | product | calcium-acetate;calcium-hydroxide;chloroform
chloral-route | feedstock | chlorine;ethanol
chloral-route | intermediate | chloral;water
chloral-route | product | chloral-hydrate;hydrogen-chloride
ddt-route | feedstock | chloral;chlorobenzene
ddt-route | product | ddt;water
ddt-route | catalyst | sulfuric-acid
freon-route | feedstock | carbon-tetrachloride;hydrogen-fluoride
freon-route | product | dichlorodifluoromethane;hydrogen-chloride
freon-route | catalyst | antimony-pentachloride
ptfe-route | feedstock | chloroform;hydrogen-fluoride;potassium-persulfate
ptfe-route | intermediate | chlorodifluoromethane;tetrafluoroethylene
ptfe-route | product | hydrogen-chloride;ptfe-unit
ptfe-route | catalyst | antimony-pentachloride
steam-reforming | feedstock | methane;water
steam-reforming | product | carbon-monoxide;hydrogen
steam-reforming | catalyst | nickel
water-gas-shift | feedstock | carbon-monoxide;water
water-gas-shift | product | carbon-dioxide;hydrogen
water-gas-shift | catalyst | iron-iii-oxide
methanol-synthesis | feedstock | carbon-dioxide;carbon-monoxide;hydrogen
methanol-synthesis | product | methanol;water
methanol-synthesis | catalyst | copper
wood-distillation | feedstock | cellulose-unit
wood-distillation | product | acetic-acid;acetone;carbon-graphite;methanol;water
fischer-tropsch | feedstock | carbon-monoxide;hydrogen
fischer-tropsch | product | octane;water
fischer-tropsch | catalyst | iron
monsanto-acetic | feedstock | carbon-monoxide;methanol
monsanto-acetic | intermediate | hydrogen-iodide;iodomethane;water
monsanto-acetic | product | acetic-acid
acetic-fermentation | feedstock | ethanol;oxygen
acetic-fermentation | intermediate | acetaldehyde;hydrogen-peroxide
acetic-fermentation | product | acetic-acid;water
acetic-anhydride-ketene | feedstock | acetic-acid
acetic-anhydride-ketene | intermediate | ketene
acetic-anhydride-ketene | product | acetic-anhydride;water
wacker-process | feedstock | ethylene;oxygen
wacker-process | product | acetaldehyde
wacker-process | catalyst | copper-ii-ion
acetylene-acetaldehyde | feedstock | acetylene;water
acetylene-acetaldehyde | product | acetaldehyde
acetylene-acetaldehyde | catalyst | mercury-ii-ion
calcium-carbide | feedstock | calcium-oxide;carbon-graphite;water
calcium-carbide | intermediate | calcium-carbide
calcium-carbide | product | acetylene;calcium-hydroxide;carbon-monoxide
steam-cracking | feedstock | octane;water
steam-cracking | product | 1,3-butadiene;ethylene;hydrogen;methane;propylene
ethylene-oxide-route | feedstock | ethylene;oxygen
ethylene-oxide-route | product | carbon-dioxide;ethylene-oxide;water
ethylene-oxide-route | catalyst | silver
chlorohydrin-route | feedstock | calcium-hydroxide;chlorine;ethylene
chlorohydrin-route | intermediate | 2-chloroethanol;water
chlorohydrin-route | product | calcium-chloride;ethylene-oxide;hydrogen-chloride
ethylene-glycol-route | feedstock | ethylene-oxide;water
ethylene-glycol-route | intermediate | diethylene-glycol;ethylene-glycol
ethylene-glycol-route | product | triethylene-glycol
pet-route | feedstock | dimethyl-terephthalate;terephthalic-acid
pet-route | intermediate | bis-hydroxyethyl-terephthalate;ethylene-glycol
pet-route | product | methanol;pet-unit;water
p-xylene-oxidation | feedstock | oxygen;p-xylene
p-xylene-oxidation | product | terephthalic-acid;water
p-xylene-oxidation | catalyst | acetic-acid;cobalt
nylon66-route | feedstock | adipic-acid;adiponitrile;hydrogen
nylon66-route | intermediate | hexamethylenediamine;nylon-66-salt
nylon66-route | product | nylon-66-unit;water
nylon66-route | catalyst | nickel
nylon6-route | feedstock | ammonia;cyclohexanone;disulfuric-acid;hydroxylamine
nylon6-route | intermediate | caprolactam;cyclohexanone-oxime;sulfuric-acid;water
nylon6-route | product | ammonium-sulfate;nylon-6-unit
adipic-acid-route | feedstock | cyclohexane;nitric-acid;oxygen
adipic-acid-route | intermediate | cyclohexanol;cyclohexanone
adipic-acid-route | product | adipic-acid;nitrous-oxide;water
adipic-acid-route | catalyst | cobalt
acrylonitrile-sohio | feedstock | ammonia;oxygen;propylene
acrylonitrile-sohio | product | acetonitrile;acrylonitrile;carbon-dioxide;hydrogen-cyanide;water
adiponitrile-route | feedstock | acrylonitrile;water
adiponitrile-route | product | adiponitrile;oxygen
vinyl-chloride-route | feedstock | benzoyl-peroxide;chlorine;ethylene;oxygen
vinyl-chloride-route | intermediate | 1,2-dichloroethane;hydrogen-chloride;vinyl-chloride
vinyl-chloride-route | product | pvc-unit;water
vinyl-chloride-route | catalyst | copper-ii-ion;iron-iii-chloride
styrene-route | feedstock | benzene;benzoyl-peroxide;ethylene
styrene-route | intermediate | ethylbenzene;styrene
styrene-route | product | hydrogen;polystyrene-unit
styrene-route | catalyst | aluminium-chloride;iron-iii-oxide
polyethylene-route | feedstock | ethylene;oxygen
polyethylene-route | product | polyethylene-unit
polyethylene-route | catalyst | titanium-tetrachloride;triethylaluminium
mma-ach | feedstock | acetone;benzoyl-peroxide;hydrogen-cyanide;methanol;sulfuric-acid
mma-ach | intermediate | acetone-cyanohydrin;methacrylamide-sulfate;methyl-methacrylate
mma-ach | product | ammonium-bisulfate;pmma-unit
bisphenol-a-route | feedstock | acetone;phenol;phosgene;sodium-hydroxide
bisphenol-a-route | intermediate | bisphenol-a
bisphenol-a-route | product | polycarbonate-unit;sodium-chloride;water
bisphenol-a-route | catalyst | hydrogen-chloride
epoxy-route | feedstock | bisphenol-a;calcium-hydroxide;chlorine;propylene;sodium-hydroxide
epoxy-route | intermediate | 1,3-dichloro-2-propanol;allyl-chloride;epichlorohydrin;water
epoxy-route | product | calcium-chloride;diglycidyl-ether-bpa;hydrogen-chloride;sodium-chloride
polyurethane-route | feedstock | hydrogen;nitric-acid;phosgene;polypropylene-glycol-unit;toluene
polyurethane-route | intermediate | 2,4-dinitrotoluene;toluene-diisocyanate;toluenediamine;water
polyurethane-route | product | carbon-dioxide;hydrogen-chloride;polyurethane-unit
polyurethane-route | catalyst | nickel;sulfuric-acid
mdi-route | feedstock | aniline;formaldehyde;phosgene
mdi-route | intermediate | methylenedianiline
mdi-route | product | mdi;water
mdi-route | catalyst | hydrogen-chloride
urea-formaldehyde-route | feedstock | formaldehyde;urea
urea-formaldehyde-route | intermediate | monomethylolurea
urea-formaldehyde-route | product | urea-formaldehyde-unit;water
melamine-route | feedstock | urea
melamine-route | intermediate | cyanic-acid
melamine-route | product | ammonia;carbon-dioxide;melamine
silicone-route | feedstock | chloromethane;silicon;water
silicone-route | intermediate | dichlorodimethylsilane;polydimethylsiloxane-unit
silicone-route | product | hydrogen-chloride;octamethylcyclotetrasiloxane
silicone-route | catalyst | copper
neoprene-route | feedstock | acetylene;hydrogen-chloride;potassium-persulfate
neoprene-route | intermediate | chloroprene;vinylacetylene
neoprene-route | product | polychloroprene-unit
neoprene-route | catalyst | copper-i-oxide
buna-rubber | feedstock | ethanol;potassium-persulfate;styrene
buna-rubber | intermediate | 1,3-butadiene
buna-rubber | product | hydrogen;sbr-marker;water
buna-rubber | catalyst | magnesium-oxide
vulcanisation | feedstock | polyisoprene-unit;sulfur-s8
vulcanisation | product | vulcanised-rubber-marker
vulcanisation | catalyst | zinc-oxide
viscose-route | feedstock | sodium-hydroxide;sulfuric-acid
viscose-route | intermediate | alkali-cellulose-marker;carbon-disulfide;cellulose-unit;viscose-marker
viscose-route | product | sodium-sulfate;water
celluloid-route | feedstock | camphor;nitrocellulose-unit
celluloid-route | product | celluloid-marker
celluloid-route | catalyst | ethanol
oxo-process | feedstock | carbon-monoxide;hydrogen;propylene
oxo-process | product | butyraldehyde;isobutyraldehyde
oxo-process | catalyst | cobalt
2-ethylhexanol-route | feedstock | butyraldehyde;hydrogen
2-ethylhexanol-route | intermediate | 2-ethylhexenal
2-ethylhexanol-route | product | 2-ethylhexanol;water
2-ethylhexanol-route | catalyst | nickel;sodium-hydroxide
dop-route | feedstock | 2-ethylhexanol;phthalic-anhydride
dop-route | product | dioctyl-phthalate;water
dop-route | catalyst | p-toluenesulfonic-acid
phthalic-anhydride-route | feedstock | naphthalene;o-xylene;oxygen
phthalic-anhydride-route | product | carbon-dioxide;phthalic-anhydride;water
phthalic-anhydride-route | catalyst | vanadium-pentoxide
maleic-anhydride-route | feedstock | butane;oxygen
maleic-anhydride-route | product | maleic-anhydride;water
maleic-anhydride-route | catalyst | vanadium-pentoxide
soap-saponification | feedstock | sodium-chloride;sodium-hydroxide;tristearin
soap-saponification | product | glycerol
soap-saponification | catalyst | sodium-stearate;water
biodiesel-route | feedstock | methanol;triolein
biodiesel-route | product | glycerol;methyl-oleate
biodiesel-route | catalyst | sodium-methoxide
hydrogenation-margarine | feedstock | hydrogen;oleic-acid;triolein
hydrogenation-margarine | product | elaidic-acid;tristearin
hydrogenation-margarine | catalyst | nickel
glycerol-epichlorohydrin | feedstock | glycerol;hydrogen-chloride;sodium-hydroxide
glycerol-epichlorohydrin | intermediate | 1,3-dichloro-2-propanol
glycerol-epichlorohydrin | product | epichlorohydrin;sodium-chloride;water
glycerol-epichlorohydrin | catalyst | acetic-acid
ethanol-fermentation | feedstock | isoleucine;sucrose
ethanol-fermentation | intermediate | acetaldehyde;glucose;pyruvic-acid;water
ethanol-fermentation | product | ammonia;carbon-dioxide;ethanol;fructose;isoamyl-alcohol
ethanol-hydration | feedstock | ethylene
ethanol-hydration | intermediate | ethanol;water
ethanol-hydration | product | diethyl-ether
ethanol-hydration | catalyst | phosphoric-acid
abe-fermentation | feedstock | glucose
abe-fermentation | product | 1-butanol;acetone;carbon-dioxide;ethanol;hydrogen
citric-acid-fermentation | feedstock | calcium-hydroxide;oxygen;sucrose;sulfuric-acid
citric-acid-fermentation | intermediate | calcium-citrate;citric-acid
citric-acid-fermentation | product | calcium-sulfate;water
lactic-acid-pla | feedstock | glucose
lactic-acid-pla | intermediate | lactic-acid;lactic-oligomer-marker;lactide
lactic-acid-pla | product | pla-unit;water
lactic-acid-pla | catalyst | tin-iv-chloride
msg-route | feedstock | ammonia;glucose;oxygen;sodium-hydroxide
msg-route | intermediate | glutamic-acid
msg-route | product | carbon-dioxide;monosodium-glutamate;water
starch-hydrolysis | feedstock | starch-unit;water
starch-hydrolysis | intermediate | glucose;maltose
starch-hydrolysis | product | fructose
invert-sugar | feedstock | sucrose;water
invert-sugar | product | fructose;glucose
furfural-route | feedstock | hydrogen
furfural-route | intermediate | furan;furfural;water
furfural-route | product | carbon-monoxide;tetrahydrofuran
furfural-route | catalyst | nickel;palladium;sulfuric-acid;xylose
hmf-route | feedstock | fructose
hmf-route | intermediate | 5-hydroxymethylfurfural;water
hmf-route | product | formic-acid;levulinic-acid
hmf-route | catalyst | sulfuric-acid
vanillin-eugenol | feedstock | eugenol;oxygen
vanillin-eugenol | intermediate | isoeugenol
vanillin-eugenol | product | acetaldehyde;vanillin
vanillin-eugenol | catalyst | sodium-hydroxide
vanillin-lignin | feedstock | lignin-monomer-coniferyl;oxygen
vanillin-lignin | product | vanillin;water
vanillin-lignin | catalyst | sodium-hydroxide
vanillin-guaiacol | feedstock | glyoxylic-acid;guaiacol;oxygen
vanillin-guaiacol | intermediate | vanillylmandelic-acid
vanillin-guaiacol | product | carbon-dioxide;vanillin;water
vanillin-guaiacol | catalyst | sodium-hydroxide
camphor-route | feedstock | acetic-acid;alpha-pinene;oxygen;sodium-hydroxide
camphor-route | intermediate | borneol;camphene;isobornyl-acetate
camphor-route | product | camphor;sodium-acetate;water
camphor-route | catalyst | copper;sulfuric-acid;titanium-dioxide
menthol-route | feedstock | citronellal;hydrogen
menthol-route | intermediate | isopulegol
menthol-route | product | menthol
menthol-route | catalyst | nickel;zinc-chloride
indigo-natural | feedstock | indican;oxygen;sodium-dithionite;sodium-hydroxide
indigo-natural | intermediate | indigo;indigo-white;indoxyl;water
indigo-natural | product | glucose;sodium-bisulfite
tyrian-purple-route | feedstock | indican;oxygen
tyrian-purple-route | product | tyrian-purple;water
tanning-route | feedstock | collagen-marker;tannic-acid-core
tanning-route | intermediate | gallic-acid;water
tanning-route | product | glucose;tanned-leather-marker
iron-gall-ink | feedstock | iron-ii-sulfate;oxygen;tannic-acid-core;water
iron-gall-ink | intermediate | gallic-acid
iron-gall-ink | product | glucose;iron-gallate-marker;sulfuric-acid
photography-silver | feedstock | hydroquinone;potassium-iodide;silver-nitrate;sodium-thiosulfate
photography-silver | intermediate | silver-iodide
photography-silver | product | benzoquinone;hydrogen-iodide;iodine;potassium-nitrate;silver;silver-thiosulfate-complex;sodium-iodide
vitamin-c-reichstein | feedstock | glucose;hydrogen;hydrogen-chloride;oxygen;potassium-permanganate
vitamin-c-reichstein | intermediate | acetone;diacetone-ketogulonic-acid;diacetone-sorbose;sorbitol;sorbose
vitamin-c-reichstein | product | ascorbic-acid
vitamin-c-reichstein | catalyst | nickel;sulfuric-acid;water
strecker-amino-acid | feedstock | acetaldehyde;ammonia;hydrogen-chloride;hydrogen-cyanide
strecker-amino-acid | intermediate | 2-aminopropanenitrile;ethanimine;water
strecker-amino-acid | product | alanine;ammonium-chloride
gabriel-synthesis | feedstock | benzyl-chloride;hydrazine;phthalimide;potassium-hydroxide
gabriel-synthesis | intermediate | n-benzylphthalimide;potassium-phthalimide
gabriel-synthesis | product | benzylamine;phthalhydrazide;potassium-chloride;water
malonic-ester-synthesis | feedstock | 1-bromopropane;diethyl-malonate;sodium-ethoxide;sodium-hydroxide;water
malonic-ester-synthesis | intermediate | diethyl-propylmalonate;malonate-anion;propylmalonic-acid
malonic-ester-synthesis | product | bromide-ion;carbon-dioxide;ethanol;valeric-acid
acetoacetic-ester-synthesis | feedstock | bromoethane;ethyl-acetoacetate;sodium-ethoxide;water
acetoacetic-ester-synthesis | intermediate | acetoacetate-anion;ethyl-2-ethylacetoacetate
acetoacetic-ester-synthesis | product | 2-pentanone;bromide-ion;carbon-dioxide;ethanol
grignard-route | feedstock | acetaldehyde;bromobenzene;magnesium;water
grignard-route | intermediate | grignard-phenylmagnesium-bromide;phenylethanolate-magnesium-bromide
grignard-route | product | 1-phenylethanol;magnesium-hydroxide
wittig-route | feedstock | benzaldehyde;iodomethane;n-butyllithium;triphenylphosphine
wittig-route | intermediate | methyltriphenylphosphonium-iodide;ylide-methylenetriphenylphosphorane
wittig-route | product | butane;styrene;triphenylphosphine-oxide
diels-alder-route | feedstock | 1,3-butadiene;cyclopentadiene;ethylene;hydrogen;maleic-anhydride
diels-alder-route | intermediate | norbornene-dicarboxylic-anhydride
diels-alder-route | product | cyclohexene;norbornane
diels-alder-route | catalyst | palladium
aldol-route | feedstock | acetaldehyde;hydroxide
aldol-route | intermediate | 3-hydroxybutanal;enolate-acetaldehyde
aldol-route | product | crotonaldehyde;water
claisen-route | feedstock | ethyl-acetate;sodium-ethoxide
claisen-route | intermediate | ethyl-acetate-enolate
claisen-route | product | ethanol;ethoxide-ion;ethyl-acetoacetate
friedel-crafts-route | feedstock | acetyl-chloride;benzene
friedel-crafts-route | intermediate | acylium-acetyl
friedel-crafts-route | product | acetophenone;hydrogen-chloride
friedel-crafts-route | catalyst | aluminium-chloride
cannizzaro-route | feedstock | benzaldehyde;sodium-hydroxide
cannizzaro-route | product | benzyl-alcohol;sodium-benzoate
perkin-route | feedstock | acetic-anhydride;benzaldehyde;sodium-acetate
perkin-route | product | acetic-acid;cinnamic-acid
knoevenagel-route | feedstock | benzaldehyde;malonic-acid
knoevenagel-route | product | carbon-dioxide;cinnamic-acid;water
knoevenagel-route | catalyst | piperidine
beckmann-route | feedstock | cyclohexanone;hydroxylamine
beckmann-route | intermediate | cyclohexanone-oxime
beckmann-route | product | caprolactam;water
beckmann-route | catalyst | sulfuric-acid
hofmann-route | feedstock | benzamide;sodium-hydroxide;sodium-hypochlorite
hofmann-route | intermediate | n-bromobenzamide;phenyl-isocyanate;water
hofmann-route | product | aniline;carbon-dioxide;sodium-bromide;sodium-chloride
curtius-route | feedstock | benzoyl-chloride;hydrazoic-acid;water
curtius-route | intermediate | benzoyl-azide;phenyl-isocyanate
curtius-route | product | aniline;carbon-dioxide;hydrogen-chloride;nitrogen
