# N. PHARMACEUTICALS, AGROCHEMICALS AND ENERGETIC MATERIALS
aspirin | acetylsalicylic acid | CC(=O)Oc1ccccc1C(=O)O | drug | product | acetylation-of-salicylic-acid | the reference synthesis
paclitaxel-core | baccatin III core (simplified) | CC1=C2[C@@H](OC(C)=O)C(=O)[C@]3(C)[C@@H](O)C[C@H]4OC[C@@]4(OC(C)=O)[C@H]3[C@H](OC(=O)c3ccccc3)[C@]2(C)CC1 | drug | intermediate | taxol-semisynthesis | simplified core
oseltamivir | oseltamivir | CCC(CC)O[C@@H]1C=C(C(=O)OCC)C[C@H](N)[C@H]1NC(C)=O | drug | product | antiviral;from-shikimic-acid | Tamiflu
acyclovir | acyclovir | Nc1nc2c(ncn2COCCO)c(=O)[nH]1 | drug | product | antiviral | nucleoside analogue
azt | zidovudine | Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O | drug | product | antiretroviral | AZT
5-fluorouracil | 5-fluorouracil | O=c1[nH]cc(F)c(=O)[nH]1 | drug | product | chemotherapy | antimetabolite
methotrexate | methotrexate | CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 | drug | product | chemotherapy;antifolate | MTX
cisplatin | cisplatin | N[Pt](N)(Cl)Cl | drug | product | chemotherapy | platinum drug
mechlorethamine | mechlorethamine | CN(CCCl)CCCl | drug | product | first-chemotherapy;mustard | nitrogen mustard
cyclophosphamide | cyclophosphamide | ClCCN(CCCl)P1(=O)NCCCO1 | drug | product | chemotherapy | oxazaphosphorine
ascorbic-acid-drug | vitamin C (see biomolecules) | OC[C@H](O)[C@H]1OC(=O)C(O)=C1O | drug | reference | scurvy | cross-reference
2,4-d | 2,4-dichlorophenoxyacetic acid | OC(=O)COc1ccc(Cl)cc1Cl | agrochemical | product | herbicide;auxin | phenoxy herbicide
2,4,5-t | 2,4,5-trichlorophenoxyacetic acid | OC(=O)COc1cc(Cl)c(Cl)cc1Cl | agrochemical | product | herbicide;agent-orange | phenoxy herbicide
mcpa | MCPA | Cc1cc(Cl)ccc1OCC(=O)O | agrochemical | product | herbicide | phenoxy herbicide
atrazine | atrazine | CCNc1nc(Cl)nc(NC(C)C)n1 | agrochemical | product | herbicide;triazine | from cyanuric chloride
simazine | simazine | CCNc1nc(Cl)nc(NCC)n1 | agrochemical | product | herbicide;triazine | triazine
paraquat | paraquat | C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-] | agrochemical | product | herbicide | bipyridinium
diquat | diquat | [Br-].[Br-].C1C[n+]2ccccc2-c2cccc[n+]21 | agrochemical | product | herbicide;desiccant | bipyridinium
glufosinate | glufosinate | CP(=O)(O)CC[C@H](N)C(=O)O | agrochemical | product | herbicide | phosphinothricin
permethrin | permethrin | CC1(C)C(/C=C(\Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1 | agrochemical | product | insecticide;pyrethroid | synthetic pyrethroid
pyrethrin-i | pyrethrin I | CC1(C)C(/C=C(C)\C)C1C(=O)O[C@@H]1C(C)=C(C/C=C\C=C)C(=O)C1 | agrochemical | product | insecticide;natural | from chrysanthemum
imidacloprid | imidacloprid | O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1 | agrochemical | product | insecticide;neonicotinoid | neonic
rotenone | rotenone | COc1cc2c(cc1OC)C(=O)[C@@H]1[C@H](O2)c2cc3c(cc2OC1)OC(C)(C=C)C3 | agrochemical | product | insecticide;piscicide | natural
nicotine-insecticide | nicotine (see alkaloids) | CN1CCC[C@H]1c1cccnc1 | agrochemical | reference | insecticide | cross-reference
captan | captan | O=C1N(SC(Cl)(Cl)Cl)C(=O)[C@@H]2C=C[C@H]12 | agrochemical | product | fungicide | phthalimide fungicide
thiram | thiram | CN(C)C(=S)SSC(=S)N(C)C | agrochemical | product | fungicide;vulcanisation | thiuram
maneb-unit | maneb repeat unit | [Mn+2].[S-]C(=S)NCCNC([S-])=S | agrochemical | product | fungicide | dithiocarbamate
bordeaux-mixture | Bordeaux mixture marker | [Cu+2].[O-]S([O-])(=O)=O.[Ca+2].[OH-].[OH-] | agrochemical | product | fungicide;vineyard | composition marker
warfarin-rodenticide | warfarin (see drugs) | CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O | agrochemical | reference | rodenticide | cross-reference
gunpowder-marker | black powder marker | [K+].[O-][N+]([O-])=O.S1SSSSSSS1.[C] | energetic | product | gunpowder;fireworks | composition marker
nitrocellulose-unit | nitrocellulose repeat unit | [O-][N+](=O)OC[C@H]1O[C@@H](O)[C@H](O[N+]([O-])=O)[C@@H](O[N+]([O-])=O)[C@@H]1O | energetic | product | guncotton;smokeless-powder | trinitrated glucose unit
nitroglycerin-energetic | nitroglycerin (see esters) | [O-][N+](=O)OCC(O[N+]([O-])=O)CO[N+]([O-])=O | energetic | reference | dynamite | cross-reference
petn | pentaerythritol tetranitrate | [O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O | energetic | product | detonator;explosive | PETN
rdx | cyclotrimethylenetrinitramine | [O-][N+](=O)N1CN([N+]([O-])=O)CN([N+]([O-])=O)C1 | energetic | product | explosive;from-hexamine | Research Department Explosive
hmx | octogen | [O-][N+](=O)N1CN([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C1 | energetic | product | explosive | HMX
tetryl | tetryl | CN([N+](=O)[O-])c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-] | energetic | product | booster-explosive | tetryl
tatb | triaminotrinitrobenzene | Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-] | energetic | product | insensitive-explosive | TATB
mercury-fulminate | mercury fulminate | [Hg+2].[O-][N+]#[C-].[O-][N+]#[C-] | energetic | product | primary-explosive;percussion-cap | fulminate
lead-azide | lead azide | [Pb+2].[N-]=[N+]=[N-].[N-]=[N+]=[N-] | energetic | product | primary-explosive;detonator | azide
lead-styphnate | lead styphnate | [Pb+2].[O-]c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-].O | energetic | product | primary-explosive | styphnate
nitroguanidine-energetic | nitroguanidine (see nitrogen) | NC(=N)N[N+](=O)[O-] | energetic | reference | triple-base-propellant | cross-reference
ammonium-picrate | ammonium picrate | [NH4+].[O-]c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-] | energetic | product | explosive-d;naval-shells | Dunnite
picramic-acid | picramic acid | Nc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1 | intermediate | intermediate | dyes;reduction-of-picric | picramic
hexanitrostilbene | hexanitrostilbene | O=[N+]([O-])c1cc([N+](=O)[O-])c(/C=C/c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1 | energetic | product | heat-resistant-explosive | HNS
nitromethane-energetic | nitromethane (see nitro) | C[N+](=O)[O-] | energetic | reference | monopropellant;drag-racing | cross-reference
hydrazine-nitrate | hydrazine nitrate | NN.O[N+](=O)[O-] | energetic | product | propellant | oxidiser salt
ammonium-dinitramide | ammonium dinitramide | [NH4+].[O-][N+](=O)[N-][N+](=O)[O-] | energetic | product | green-oxidiser | ADN
