# G. ALDEHYDES, KETONES, QUINONES
formaldehyde | methanal | C=O | aldehyde | intermediate | bakelite;methanol-oxidation;urea-resin | formalin
cyclohexane-1,2-dione | 1,2-cyclohexanedione | O=C1CCCCC1=O | ketone | intermediate | heterocycle-synthesis | vicinal diketone
cyclododecanone | cyclododecanone | O=C1CCCCCCCCCCC1 | ketone | intermediate | nylon-12;musk | macrocyclic ketone
acetophenone | acetophenone | CC(=O)c1ccccc1 | ketone | intermediate | styrene-co-product;fragrance | phenyl methyl ketone
propiophenone | propiophenone | CCC(=O)c1ccccc1 | ketone | intermediate | ephedrine-synthesis | aryl ketone
benzophenone | benzophenone | O=C(c1ccccc1)c1ccccc1 | ketone | reagent | photoinitiator;drying-indicator | diaryl ketone
benzil | benzil | O=C(C(=O)c1ccccc1)c1ccccc1 | ketone | intermediate | benzilic-rearrangement;photoinitiator | 1,2-diketone
benzoin | benzoin | OC(C(=O)c1ccccc1)c1ccccc1 | ketone | intermediate | benzoin-condensation | acyloin
dibenzylideneacetone | dibenzylideneacetone | O=C(/C=C/c1ccccc1)/C=C/c1ccccc1 | ketone | product | aldol-teaching;pd-ligand | dba
chalcone | chalcone | O=C(/C=C/c1ccccc1)c1ccccc1 | ketone | intermediate | flavonoid-synthesis | aryl enone
methyl-vinyl-ketone | 3-buten-2-one | C=CC(C)=O | ketone | reagent | michael-acceptor;robinson-annulation | MVK
diacetyl | 2,3-butanedione | CC(=O)C(C)=O | ketone | product | butter-flavour;fermentation | vicinal diketone
acetylacetone | 2,4-pentanedione | CC(=O)CC(C)=O | ketone | reagent | chelation;heterocycles | acac
acetoin | 3-hydroxy-2-butanone | CC(O)C(C)=O | ketone | intermediate | fermentation;butter | acyloin
hydroxyacetone | hydroxyacetone | CC(=O)CO | ketone | intermediate | glycerol-dehydration | acetol
dihydroxyacetone | 1,3-dihydroxyacetone | OCC(=O)CO | ketone | product | self-tanning;glycolysis | DHA
camphor | camphor | CC1(C)[C@@H]2CC[C@]1(C)C(=O)C2 | ketone | product | celluloid;medicine | bicyclic terpene ketone
carvone | R-carvone | CC(=C)[C@@H]1CC=C(C)C(=O)C1 | ketone | product | spearmint;caraway | terpene ketone
menthone | menthone | CC(C)[C@H]1CC[C@@H](C)CC1=O | ketone | product | peppermint | terpene ketone
fenchone | fenchone | CC1(C)[C@@H]2CC[C@](C)(C2)C1=O | ketone | product | fennel;fragrance | bicyclic ketone
jasmone | cis-jasmone | CC/C=C\CC1=C(C)CCC1=O | ketone | product | jasmine;fragrance | cyclopentenone
muscone | muscone | C[C@@H]1CCCCCCCCCCCCC1=O | ketone | product | musk | macrocyclic ketone
civetone | civetone | O=C1CCCCCCC/C=C\CCCCCCC1 | ketone | product | musk | macrocyclic enone
benzoquinone | 1,4-benzoquinone | O=C1C=CC(=O)C=C1 | quinone | intermediate | hydroquinone-oxidation;dehydrogenation | para-quinone
ortho-benzoquinone | 1,2-benzoquinone | O=C1C=CC=CC1=O | quinone | transient | catechol-oxidation;melanin | unstable
naphthoquinone | 1,4-naphthoquinone | O=C1C=CC(=O)c2ccccc21 | quinone | intermediate | vitamin-k;dyes | from naphthalene
anthraquinone | 9,10-anthraquinone | O=C1c2ccccc2C(=O)c2ccccc21 | quinone | intermediate | alizarin;hydrogen-peroxide;pulping | AQ
alizarin | 1,2-dihydroxyanthraquinone | O=C1c2ccccc2C(=O)c2c1ccc(O)c2O | quinone | product | madder-dye | the first synthetic natural dye
ddq | 2,3-dichloro-5,6-dicyano-1,4-benzoquinone | N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O | quinone | reagent | dehydrogenation;oxidation | DDQ
chloranil | tetrachloro-1,4-benzoquinone | O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl | quinone | reagent | dehydrogenation;fungicide | chloranil
ubiquinone-0 | 2,3-dimethoxy-5-methyl-1,4-benzoquinone | COC1=C(OC)C(=O)C(C)=CC1=O | quinone | reference | coenzyme-q-core | Q0
juglone | 5-hydroxy-1,4-naphthoquinone | O=C1C=CC(=O)c2c1cccc2O | quinone | product | walnut;allelopathy | natural dye
lawsone | 2-hydroxy-1,4-naphthoquinone | O=C1C(O)=CC(=O)c2ccccc21 | quinone | product | henna | natural dye
ketene | ethenone | C=C=O | ketene | intermediate | acetic-anhydride;acetylation | Wolff/pyrolysis product
diketene | diketene | C=C1CC1=O | ketene | intermediate | acetoacetate-esters | ketene dimer
dimethylketene | dimethylketene | CC(C)=C=O | ketene | transient | polyester;cycloaddition | disubstituted ketene
