# L. BIOMOLECULES -- sugars, amino acids, lipids, vitamins, alkaloids, natural products
formaldehyde-hydrate | methanediol | OCO | sugar | transient | formose;formalin | hydrated formaldehyde
arginine | L-arginine | N=C(N)NCCC[C@H](N)C(=O)O | amino-acid | product | biochemistry;nitric-oxide | Arg
histidine | L-histidine | N[C@@H](Cc1c[nH]cn1)C(=O)O | amino-acid | product | biochemistry | His
glutathione | glutathione | N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O | peptide | product | antioxidant;detoxification | GSH
aspartame | aspartame | COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O | peptide | product | sweetener | dipeptide ester
carnosine | carnosine | NCCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O | peptide | product | muscle-buffer | dipeptide
taurine | taurine | NCCS(=O)(=O)O | amino-acid | product | bile;energy-drinks | sulfonic amino acid
beta-alanine | beta-alanine | NCCC(=O)O | amino-acid | intermediate | pantothenic-acid;carnosine | not proteinogenic
gaba | gamma-aminobutyric acid | NCCCC(=O)O | amino-acid | product | neurotransmitter | GABA
sarcosine | sarcosine | CNCC(=O)O | amino-acid | intermediate | glyphosate;surfactants | N-methylglycine
creatine | creatine | CN(CC(=O)O)C(=N)N | amino-acid | product | supplement;muscle | creatine
creatinine | creatinine | CN1CC(=O)N=C1N | heterocycle | product | metabolite;clinical-marker | creatine anhydride
retinol | vitamin A | CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1 | vitamin | product | vitamin-a;vision | retinol
retinal | retinal | CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1 | vitamin | intermediate | vision;rhodopsin | retinal
beta-carotene | beta-carotene | CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1 | vitamin | product | pigment;provitamin-a | carotenoid
thiamine | vitamin B1 | Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1 | vitamin | product | vitamin-b1 | thiamine cation
riboflavin | vitamin B2 | Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C | vitamin | product | vitamin-b2;fermentation | riboflavin
pantothenic-acid | vitamin B5 | CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O | vitamin | product | vitamin-b5;coa | pantothenate
pyridoxine | vitamin B6 | Cc1ncc(CO)c(CO)c1O | vitamin | product | vitamin-b6 | pyridoxine
biotin | vitamin B7 | O=C1N[C@@H]2[C@H](CCCCC(=O)O)SC[C@H]2N1 | vitamin | product | vitamin-b7 | biotin
folic-acid | vitamin B9 | Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1 | vitamin | product | vitamin-b9 | folate
cyanocobalamin-core | corrin core (simplified) | CC1=CC2=NC1=CC1=NC(=CC3=NC(=CC4=NC(=C2)C(C)(C)C4)C(C)(C)C3)C(C)(C)C1 | vitamin | reference | vitamin-b12-scaffold | simplified corrin
tocopherol | alpha-tocopherol | Cc1c(C)c2c(c(C)c1O)CC[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2 | vitamin | product | vitamin-e;antioxidant | tocopherol
phylloquinone | vitamin K1 | CC1=C(C/C=C(C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O | vitamin | product | vitamin-k;coagulation | phylloquinone
menadione | vitamin K3 | CC1=CC(=O)c2ccccc2C1=O | vitamin | product | vitamin-k3 | menadione
cholecalciferol | vitamin D3 | C[C@H](CCCC(C)C)[C@H]1CC[C@H]2/C(=C\C=C3/C[C@@H](O)CCC3=C)CCC[C@]12C | vitamin | product | vitamin-d | D3
cholesterol | cholesterol | C[C@H](CCCC(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C | steroid | feedstock | membranes;steroid-synthesis | sterol
cholic-acid | cholic acid | C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C | steroid | product | bile-acid | cholate
testosterone | testosterone | C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O | steroid | product | hormone | androgen
estradiol | 17-beta-estradiol | C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@H]2O | steroid | product | hormone | oestrogen
progesterone | progesterone | CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C | steroid | product | hormone | progestogen
cortisol | cortisol | C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@]2(O)C(=O)CO | steroid | product | hormone | hydrocortisone
diosgenin | diosgenin | C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C | steroid | feedstock | marker-degradation;steroid-source | from yam
nicotine | nicotine | CN1CCC[C@H]1c1cccnc1 | alkaloid | product | tobacco;insecticide | pyridine alkaloid
morphine | morphine | CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5 | alkaloid | product | opium;analgesic | opiate
codeine | codeine | COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@H](O)C=C[C@H]35 | alkaloid | product | opium;antitussive | methylmorphine
heroin | diacetylmorphine | CC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(OC(C)=O)c5c4[C@@]2(CCN3C)[C@H]1O5 | alkaloid | product | acetylation-of-morphine | diamorphine
papaverine | papaverine | COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC | alkaloid | product | opium;vasodilator | benzylisoquinoline
quinine | quinine | COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1 | alkaloid | product | cinchona;antimalarial | quinine
strychnine | strychnine | O=C1C[C@H]2OCC=C3CN4CC[C@@]56[C@H]4C[C@H]3[C@H]2[C@H]5N1c1ccccc16 | alkaloid | product | poison;nux-vomica | strychnine
caffeine-alkaloid | caffeine (see heterocycles) | Cn1c(=O)c2c(ncn2C)n(C)c1=O | alkaloid | reference | duplicate-crossref | cross-reference
atropine | atropine | OC[C@H](c1ccccc1)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)N2C | alkaloid | product | belladonna;mydriatic | tropane
cocaine | cocaine | COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C | alkaloid | product | coca;anaesthetic | tropane
ephedrine | ephedrine | CN[C@@H](C)[C@H](O)c1ccccc1 | alkaloid | product | ephedra;decongestant | phenylpropanolamine
capsaicin | capsaicin | COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O | alkaloid | product | chilli;pungency | vanilloid
piperine | piperine | O=C(/C=C/C=C/c1ccc2OCOc2c1)N1CCCCC1 | alkaloid | product | black-pepper | amide alkaloid
theobromine-alkaloid | theobromine (see heterocycles) | Cn1cnc2c1c(=O)[nH]c(=O)n2C | alkaloid | reference | duplicate-crossref | cross-reference
serotonin | serotonin | NCCc1c[nH]c2ccc(O)cc12 | amine | product | neurotransmitter | 5-HT
dopamine | dopamine | NCCc1ccc(O)c(O)c1 | amine | product | neurotransmitter;l-dopa | catecholamine
adrenaline | epinephrine | CNC[C@H](O)c1ccc(O)c(O)c1 | amine | product | hormone;first-synthetic-hormone | adrenaline
noradrenaline | norepinephrine | NC[C@H](O)c1ccc(O)c(O)c1 | amine | product | neurotransmitter | noradrenaline
histamine | histamine | NCCc1c[nH]cn1 | amine | product | allergy-mediator | histamine
melatonin | melatonin | COc1ccc2[nH]cc(CCNC(C)=O)c2c1 | amine | product | hormone;sleep | melatonin
salicin | salicin | OC[C@H]1O[C@@H](Oc2ccccc2CO)[C@H](O)[C@@H](O)[C@@H]1O | glycoside | feedstock | willow-bark;salicylic-acid | the aspirin ancestor
amygdalin | amygdalin | N#C[C@@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1 | glycoside | feedstock | bitter-almond;benzaldehyde | cyanogenic glycoside
indican | indican | OC[C@H]1O[C@@H](Oc2c[nH]c3ccccc23)[C@H](O)[C@@H](O)[C@@H]1O | glycoside | feedstock | woad;indigo | indigo precursor
quercetin | quercetin | O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12 | flavonoid | product | plant-pigment;antioxidant | flavonol
catechin | catechin | O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1 | flavonoid | product | tea;tannin | flavan-3-ol
anthocyanidin-cyanidin | cyanidin | Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1 | flavonoid | product | plant-pigment | flavylium cation
curcumin | curcumin | COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O | polyphenol | product | turmeric;pigment | diarylheptanoid
resveratrol | resveratrol | Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1 | polyphenol | product | grapes;antioxidant | stilbenoid
tannic-acid-core | gallotannin core (digalloyl glucose) | OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1 | polyphenol | feedstock | tanning;ink;gallic-acid | simplified tannin
lignin-monomer-coniferyl | coniferyl alcohol | COc1cc(/C=C/CO)ccc1O | phenol | feedstock | lignin;vanillin | monolignol
lignin-monomer-sinapyl | sinapyl alcohol | COc1cc(/C=C/CO)cc(OC)c1O | phenol | feedstock | lignin | monolignol
lignin-monomer-coumaryl | para-coumaryl alcohol | OC/C=C/c1ccc(O)cc1 | phenol | feedstock | lignin | monolignol
ferulic-acid | ferulic acid | COc1cc(/C=C/C(=O)O)ccc1O | phenol | feedstock | bran;vanillin | hydroxycinnamic acid
caffeic-acid | caffeic acid | OC(=O)/C=C/c1ccc(O)c(O)c1 | phenol | intermediate | plant-phenolics | hydroxycinnamic acid
p-coumaric-acid | para-coumaric acid | OC(=O)/C=C/c1ccc(O)cc1 | phenol | intermediate | plant-phenolics | hydroxycinnamic acid
shikimic-acid | shikimic acid | O[C@@H]1C=C(C(=O)O)C[C@H](O)[C@H]1O | acid | intermediate | shikimate-pathway;oseltamivir | star anise
chorismic-acid | chorismic acid | C=C(OC1C=CC(O)[C@@H](C(=O)O)C1)C(=O)O | acid | intermediate | aromatic-biosynthesis | branch point
penicillin-g | benzylpenicillin | CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O | antibiotic | product | fermentation;beta-lactam | Penicillin G
6-apa | 6-aminopenicillanic acid | CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O | antibiotic | intermediate | semisynthetic-penicillins | 6-APA
amoxicillin | amoxicillin | CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O | antibiotic | product | semisynthetic-penicillin | amoxicillin
cephalosporin-c-core | 7-aminocephalosporanic acid | CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1 | antibiotic | intermediate | cephalosporins | 7-ACA
tetracycline | tetracycline | CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(O)cccc4[C@](C)(O)[C@H]3C(=O)C2=C(O)[C@]2(O)C1=C(O)C(C(N)=O)=C2O | antibiotic | product | fermentation | tetracycline
chloramphenicol | chloramphenicol | O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl | antibiotic | product | synthetic-antibiotic | chloramphenicol
streptomycin-core | streptidine | N=C(N)N[C@H]1[C@@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]1O | antibiotic | intermediate | aminoglycoside-core | streptidine
