# Q. ROUTE INTERMEDIATES -- every species that route_steps.psv needs and the earlier
# files did not already carry. These are the ISOLABLE (or at least well-defined)
# intermediates of the named routes. Nine genuinely non-molecular species stay as
# "-marker" ids in route_steps.psv and are listed at the bottom of this file; they
# are EXCLUDED from the coverage audit by tools/build_catalog.py rather than being
# given a fake graph.
2-nitrobenzaldehyde | 2-nitrobenzaldehyde | O=Cc1ccccc1[N+](=O)[O-] | aldehyde | intermediate | indigo-baeyer-drewson | side-chain oxidation product
vanillylmandelic-acid | vanillylmandelic acid | COc1cc(C(O)C(=O)O)ccc1O | acid | intermediate | vanillin-guaiacol | before oxidative decarboxylation
dichlorodimethylsilane | dichlorodimethylsilane | C[Si](C)(Cl)Cl | organosilicon | intermediate | silicones;direct-process | the siloxane monomer
mercury-ii-ion | mercury(II) ion | [Hg+2] | ion | catalyst | kucherov;acetylene-hydration | the Kucherov catalyst
# --- DECLARED NON-MOLECULAR MARKERS (no graph; excluded from the coverage audit) ---
# alkali-cellulose-marker      swollen cellulose-NaOH complex, not a discrete molecule
# coal-marker                  a rock: a macromolecular kerogen mixture
# coal-tar-marker              a mixture of hundreds of species, fractionated not reacted
# collagen-marker              a protein
# iron-gallate-marker          an ill-defined polymeric Fe(III)-gallate complex
# lactic-oligomer-marker       an oligomer of unspecified chain length
# sodium-amalgam-marker        a metal solution, not a compound
# tanned-leather-marker        crosslinked protein
