# K. HETEROCYCLES -- five- and six-membered, fused, and their key substituted members
furan | furan | c1ccoc1 | heterocycle | intermediate | furfural-decarbonylation;thf | oxygen five-ring
adenine | adenine | Nc1ncnc2[nH]cnc12 | nucleobase | product | dna-rna-base;hcn-pentamer | purine base
guanine | guanine | Nc1nc2[nH]cnc2c(=O)[nH]1 | nucleobase | product | dna-rna-base;guano | purine base
hypoxanthine | hypoxanthine | O=c1[nH]cnc2[nH]cnc12 | heterocycle | intermediate | purine-metabolism | inosine base
xanthine | xanthine | O=c1[nH]c(=O)c2[nH]cnc2[nH]1 | heterocycle | intermediate | purine-metabolism | caffeine parent
uric-acid | uric acid | O=c1[nH]c2[nH]c(=O)[nH]c2c(=O)[nH]1 | heterocycle | product | purine-catabolism;gout | urate
caffeine | caffeine | Cn1c(=O)c2c(ncn2C)n(C)c1=O | alkaloid | product | coffee;stimulant | trimethylxanthine
theobromine | theobromine | Cn1cnc2c1c(=O)[nH]c(=O)n2C | alkaloid | product | cocoa | dimethylxanthine
theophylline | theophylline | Cn1c(=O)c2[nH]cnc2n(C)c1=O | alkaloid | product | tea;bronchodilator | dimethylxanthine
allantoin | allantoin | NC(=O)NC1NC(=O)NC1=O | heterocycle | product | skin-care;purine-catabolite | allantoin
hydantoin | hydantoin | O=C1CNC(=O)N1 | heterocycle | intermediate | bucherer-bergs;amino-acids | glycolylurea
phenytoin | 5,5-diphenylhydantoin | O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1 | heterocycle | product | anticonvulsant | Dilantin
maleimide | 1H-pyrrole-2,5-dione | O=C1C=CC(=O)N1 | heterocycle | reagent | bioconjugation;resins | thiol-reactive
succinimide | succinimide | O=C1CCC(=O)N1 | heterocycle | reagent | nhs-chemistry | imide
n-bromosuccinimide | N-bromosuccinimide | O=C1CCC(=O)N1Br | heterocycle | reagent | allylic-bromination | NBS
n-chlorosuccinimide | N-chlorosuccinimide | O=C1CCC(=O)N1Cl | heterocycle | reagent | chlorination | NCS
phthalimide | phthalimide | O=C1NC(=O)c2ccccc21 | heterocycle | reagent | gabriel-synthesis | aryl imide
potassium-phthalimide | potassium phthalimide | [K+].O=C1[N-]C(=O)c2ccccc21 | heterocycle | reagent | gabriel-synthesis | nucleophile
porphine | porphine | C1=CC2=NC1=Cc1ccc([nH]1)C=C1C=CC(=N1)C=c1ccc(=C2)[nH]1 | macrocycle | reference | porphyrin-core | parent porphyrin
phthalocyanine | phthalocyanine | N1=C2N=C3[N-]C(=Nc4[n-]c(N=C5N=C(N=C1c1ccccc21)c1ccccc51)c1ccccc41)c1ccccc31.[H+].[H+] | macrocycle | product | pigment;blue | metal-free Pc
copper-phthalocyanine | copper phthalocyanine | [Cu+2].C1=CC=C2C(=C1)C3=NC4=NC(=NC5=C6C=CC=CC6=C([N-]5)N=C7C8=CC=CC=C8C(=N7)N=C2[N-]3)C9=CC=CC=C94 | macrocycle | product | pigment;blue | Pigment Blue 15
