# ROUTE STEPS -- pipe-separated. Columns:
#   route_id | step | name | reactants | products | conditions | reaction_class
# reactants/products: compound ids from data/catalog/compounds/, joined with " + ".
# A species that appears on BOTH sides of one step is a catalyst for that step.
# reaction_class is the transformation family; tools/build_catalog.py compares the
# distinct classes here against the templates in src/chemsim/reactions/library.py.
indigo-baeyer-drewson | 3 | aldol and cyclisation | 2-nitrobenzaldehyde + acetone + sodium-hydroxide | indigo + acetic-acid + water | cold dilute base | aldol-cyclisation
indigo-heumann | 1 | N-alkylation of aniline | aniline + chloroacetic-acid | n-phenylglycine + hydrogen-chloride | 370 K | n-alkylation
indigo-heumann | 2 | alkali fusion to indoxyl | n-phenylglycine + sodium-hydroxide + sodium-amide | indoxyl + water | 470 K, sodamide | alkali-fusion
indigo-heumann | 3 | air oxidation to indigo | indoxyl + oxygen | indigo + water | air blown | oxidative-dimerisation
azo-dye-coupling | 1 | diazotisation | sulfanilic-acid + sodium-nitrite + hydrogen-chloride | benzenediazonium-chloride + water + sodium-chloride | 275-278 K, ice bath | diazotisation
azo-dye-coupling | 2 | azo coupling | benzenediazonium-chloride + n,n-dimethylaniline | methyl-orange + hydrogen-chloride | pH 5-9, cold | azo-coupling
triarylmethane-dyes | 1 | condensation | benzaldehyde + n,n-dimethylaniline + hydrogen-chloride | leucomalachite-green + water | acid, 370 K | friedel-crafts-hydroxyalkylation
triarylmethane-dyes | 2 | oxidation to the dye | leucomalachite-green + lead-iv-oxide | malachite-green + water | oxidation | leuco-dye-oxidation
prussian-blue-route | 1 | ferrocyanide from potash and blood | potassium-carbonate + iron | potassium-ferrocyanide + carbon-dioxide | calcination with animal matter | pyrolytic-synthesis
prussian-blue-route | 2 | pigment precipitation | potassium-ferrocyanide + iron-iii-sulfate | prussian-blue + potassium-sulfate | aqueous, ambient | precipitation-metathesis
white-lead-route | 1 | acetate formation | lead + acetic-acid + oxygen | lead-acetate + water | stack process, dung heat | oxidative-dissolution
white-lead-route | 2 | carbonation | lead-acetate + carbon-dioxide + water | basic-lead-carbonate + acetic-acid | months in the stack | basic-carbonate-precipitation
vermilion-route | 1 | mercury sulfide formation | mercury + sulfur-s8 | mercury-sulfide | trituration then sublimation | direct-combination
chrome-yellow-route | 1 | precipitation | lead-acetate + potassium-chromate | chrome-yellow + potassium-acetate | aqueous | precipitation-metathesis
phenol-cumene | 1 | Friedel-Crafts alkylation | benzene + propylene + phosphoric-acid | cumene + phosphoric-acid | 520 K, solid phosphoric acid | friedel-crafts-alkylation
phenol-cumene | 2 | autoxidation | cumene + oxygen | cumene-hydroperoxide | 380 K, air, radical chain | autoxidation
phenol-cumene | 3 | Hock rearrangement | cumene-hydroperoxide + sulfuric-acid | phenol + acetone + sulfuric-acid | 340 K, dilute acid | hock-rearrangement
phenol-dow | 1 | benzene chlorination | benzene + chlorine + iron-iii-chloride | chlorobenzene + hydrogen-chloride + iron-iii-chloride | 320 K, Lewis acid | electrophilic-aromatic-halogenation
phenol-dow | 2 | caustic hydrolysis | chlorobenzene + sodium-hydroxide | sodium-phenoxide + sodium-chloride | 620 K, 300 bar | nucleophilic-aromatic-substitution
phenol-dow | 3 | acidification | sodium-phenoxide + hydrogen-chloride | phenol + sodium-chloride | ambient | proton-transfer
phenol-sulfonation | 1 | benzene sulfonation | benzene + sulfuric-acid | benzenesulfonic-acid + water | 420 K | electrophilic-aromatic-sulfonation
phenol-sulfonation | 2 | alkali fusion | benzenesulfonic-acid + sodium-hydroxide | sodium-phenoxide + sodium-sulfite + water | 620 K, molten caustic | alkali-fusion
phenol-sulfonation | 3 | acidification | sodium-phenoxide + sulfuric-acid | phenol + sodium-bisulfate | ambient | proton-transfer
bakelite-route | 1 | methylolation | phenol + formaldehyde + sodium-hydroxide | resole-unit + sodium-hydroxide | base, 340 K | electrophilic-hydroxymethylation
bakelite-route | 2 | condensation and cure | resole-unit + phenol | bakelite-unit + water | 420 K, pressure | polycondensation
salicylic-kolbe | 1 | phenoxide formation | phenol + sodium-hydroxide | sodium-phenoxide + water | dried thoroughly | proton-transfer
salicylic-kolbe | 2 | carboxylation | sodium-phenoxide + carbon-dioxide | sodium-salicylate | 400 K, 100 bar CO2 | kolbe-schmitt-carboxylation
salicylic-kolbe | 3 | acidification | sodium-salicylate + sulfuric-acid | salicylic-acid + sodium-bisulfate | ambient | proton-transfer
aspirin-route | 1 | acetylation | salicylic-acid + acetic-anhydride + sulfuric-acid | aspirin + acetic-acid + sulfuric-acid | 350 K, catalytic acid | acylation-esterification
aspirin-route | 2 | crystallisation | aspirin + water | aspirin | cool to 273 K, recrystallise | crystallisation
paracetamol-route | 1 | nitrobenzene reduction to the hydroxylamine | nitrobenzene + hydrogen + platinum | phenylhydroxylamine + water + platinum | controlled hydrogenation | nitro-partial-hydrogenation
paracetamol-route | 2 | Bamberger rearrangement | phenylhydroxylamine + sulfuric-acid | 4-aminophenol + sulfuric-acid | dilute acid, 340 K | bamberger-rearrangement
paracetamol-route | 3 | acetylation | 4-aminophenol + acetic-anhydride | paracetamol + acetic-acid | aqueous, 360 K | n-acylation
phenacetin-route | 1 | Williamson etherification | 4-nitrophenol + sodium-hydroxide + bromoethane | 4-nitrophenetole + sodium-bromide + water | reflux in ethanol | williamson-ether-synthesis
phenacetin-route | 2 | nitro reduction | 4-nitrophenetole + hydrogen + nickel | p-phenetidine + water + nickel | catalytic hydrogenation | nitro-hydrogenation
phenacetin-route | 3 | acetylation | p-phenetidine + acetic-anhydride | phenacetin + acetic-acid | 360 K | n-acylation
salicin-hydrolysis | 1 | glycoside hydrolysis | salicin + water | salicyl-alcohol + glucose | acid or emulsin | glycoside-hydrolysis
salicin-hydrolysis | 2 | alcohol oxidation | salicyl-alcohol + oxygen | salicylaldehyde + hydrogen-peroxide | mild oxidation | alcohol-oxidation
salicin-hydrolysis | 3 | aldehyde oxidation | salicylaldehyde + hydrogen-peroxide | salicylic-acid + water | oxidation | aldehyde-oxidation
sulfa-drug-route | 1 | aniline protection | aniline + acetic-anhydride | acetanilide + acetic-acid | 370 K | n-acylation
sulfa-drug-route | 2 | chlorosulfonation | acetanilide + chlorosulfonic-acid | 4-acetamidobenzenesulfonyl-chloride + hydrogen-chloride + water | 340 K, excess ClSO3H | electrophilic-aromatic-sulfonation
sulfa-drug-route | 3 | ammonolysis | 4-acetamidobenzenesulfonyl-chloride + ammonia | 4-acetamidobenzenesulfonamide + ammonium-chloride | aqueous ammonia | sulfonamide-formation
sulfa-drug-route | 4 | deprotection | 4-acetamidobenzenesulfonamide + water + hydrogen-chloride | sulfanilamide + acetic-acid | dilute HCl, reflux | amide-hydrolysis
prontosil-route | 1 | diazotisation | sulfanilamide + sodium-nitrite + hydrogen-chloride | sulfanilamide-diazonium + water + sodium-chloride | 278 K | diazotisation
prontosil-route | 2 | azo coupling | sulfanilamide-diazonium + m-phenylenediamine | prontosil + hydrogen-chloride | cold, buffered | azo-coupling
penicillin-route | 1 | fermentation | glucose + ammonium-sulfate + phenylacetic-acid | penicillin-g + carbon-dioxide + water | Penicillium, deep tank, 300 K | fermentation
penicillin-route | 2 | enzymatic deacylation | penicillin-g + water | 6-apa + phenylacetic-acid | penicillin acylase, pH 8 | amide-hydrolysis
penicillin-route | 3 | reacylation | 6-apa + 4-hydroxyphenylglycine | amoxicillin + water | enzymatic or chemical coupling | amide-coupling
aspirin-impurity | 1 | ester hydrolysis | aspirin + water | salicylic-acid + acetic-acid | humidity, months | ester-hydrolysis
chloroform-route | 1 | haloform reaction | acetone + calcium-hypochlorite | chloroform + calcium-acetate + calcium-hydroxide | 330 K, aqueous | haloform
chloral-route | 1 | exhaustive chlorination | ethanol + chlorine | chloral + hydrogen-chloride + water | chlorine bubbled, days | radical-halogenation
chloral-route | 2 | hydrate formation | chloral + water | chloral-hydrate | crystallises | carbonyl-hydration
ddt-route | 1 | condensation | chloral + chlorobenzene + sulfuric-acid | ddt + water + sulfuric-acid | conc H2SO4, 290 K | friedel-crafts-hydroxyalkylation
freon-route | 1 | halogen exchange | carbon-tetrachloride + hydrogen-fluoride + antimony-pentachloride | dichlorodifluoromethane + hydrogen-chloride + antimony-pentachloride | 340 K, SbF3/SbCl5 | swarts-halogen-exchange
ptfe-route | 1 | HCFC-22 synthesis | chloroform + hydrogen-fluoride + antimony-pentachloride | chlorodifluoromethane + hydrogen-chloride + antimony-pentachloride | 340 K | swarts-halogen-exchange
ptfe-route | 2 | pyrolysis to TFE | chlorodifluoromethane | tetrafluoroethylene + hydrogen-chloride | 970 K, short contact | pyrolysis
ptfe-route | 3 | emulsion polymerisation | tetrafluoroethylene + potassium-persulfate | ptfe-unit | 350 K, 20 bar, water | radical-polymerisation
steam-reforming | 1 | methane reforming | methane + water + nickel | carbon-monoxide + hydrogen + nickel | 1100 K, 25 bar, Ni | steam-reforming
water-gas-shift | 1 | shift reaction | carbon-monoxide + water + iron-iii-oxide | carbon-dioxide + hydrogen + iron-iii-oxide | 620 K high-temp shift | water-gas-shift
methanol-synthesis | 1 | CO hydrogenation | carbon-monoxide + hydrogen + copper | methanol + copper | 520 K, 80 bar, Cu/ZnO | catalytic-gas-synthesis
methanol-synthesis | 2 | CO2 hydrogenation | carbon-dioxide + hydrogen + copper | methanol + water + copper | same reactor | catalytic-gas-synthesis
wood-distillation | 1 | pyrolysis of wood | cellulose-unit | methanol + acetic-acid + acetone + carbon-graphite + water | retort, 700 K, no air | pyrolysis
fischer-tropsch | 1 | chain growth | carbon-monoxide + hydrogen + iron | octane + water + iron | 500 K, 25 bar, Fe or Co | fischer-tropsch
monsanto-acetic | 1 | methanol to methyl iodide | methanol + hydrogen-iodide | iodomethane + water | in situ | nucleophilic-substitution
monsanto-acetic | 2 | carbonylation | iodomethane + carbon-monoxide + water | acetic-acid + hydrogen-iodide | 460 K, 35 bar, Rh or Ir | carbonylation
acetic-fermentation | 1 | ethanol oxidation | ethanol + oxygen | acetaldehyde + hydrogen-peroxide | Acetobacter, 300 K, aerated | alcohol-oxidation
acetic-fermentation | 2 | aldehyde oxidation | acetaldehyde + hydrogen-peroxide | acetic-acid + water | same organism | aldehyde-oxidation
acetic-anhydride-ketene | 1 | acetic acid pyrolysis | acetic-acid | ketene + water | 1000 K, triethyl-phosphate catalyst | pyrolysis-dehydration
acetic-anhydride-ketene | 2 | ketene absorption | ketene + acetic-acid | acetic-anhydride | 320 K | nucleophilic-addition
wacker-process | 1 | ethylene oxidation | ethylene + oxygen + copper-ii-ion | acetaldehyde + copper-ii-ion | PdCl2/CuCl2, 400 K | wacker-oxidation
acetylene-acetaldehyde | 1 | mercury-catalysed hydration | acetylene + water + mercury-ii-ion | acetaldehyde + mercury-ii-ion | 370 K, HgSO4 in H2SO4 | alkyne-hydration
calcium-carbide | 1 | carbide furnace | calcium-oxide + carbon-graphite | calcium-carbide + carbon-monoxide | electric arc, 2300 K | carbothermic-reduction
calcium-carbide | 2 | carbide hydrolysis | calcium-carbide + water | acetylene + calcium-hydroxide | ambient, water drip | hydrolysis
steam-cracking | 1 | thermal cracking | octane + water | ethylene + propylene + 1,3-butadiene + methane + hydrogen | 1100 K, steam diluted, 0.5 s | thermal-cracking
ethylene-oxide-route | 1 | silver-catalysed epoxidation | ethylene + oxygen + silver | ethylene-oxide + silver | 520 K, 20 bar, Ag on alumina | catalytic-epoxidation
ethylene-oxide-route | 2 | combustion side reaction | ethylene + oxygen | carbon-dioxide + water | same reactor, selectivity loss | hydrocarbon-combustion
chlorohydrin-route | 1 | chlorohydrination | ethylene + chlorine + water | 2-chloroethanol + hydrogen-chloride | 310 K, aqueous | halohydrin-formation
chlorohydrin-route | 2 | ring closure | 2-chloroethanol + calcium-hydroxide | ethylene-oxide + calcium-chloride + water | lime slurry, 370 K | intramolecular-williamson
ethylene-glycol-route | 1 | hydration | ethylene-oxide + water | ethylene-glycol | 470 K, 20 bar, excess water | epoxide-hydrolysis
ethylene-glycol-route | 2 | oligomer byproducts | ethylene-oxide + ethylene-glycol | diethylene-glycol | same reactor | epoxide-alkoxylation
ethylene-glycol-route | 3 | further oligomerisation | ethylene-oxide + diethylene-glycol | triethylene-glycol | same reactor | epoxide-alkoxylation
p-xylene-oxidation | 1 | Amoco air oxidation | p-xylene + oxygen + acetic-acid + cobalt | terephthalic-acid + water + acetic-acid + cobalt | 470 K, 20 bar, Co/Mn/Br | catalytic-air-oxidation
pet-route | 1 | esterification | terephthalic-acid + ethylene-glycol | bis-hydroxyethyl-terephthalate + water | 530 K | esterification
pet-route | 2 | polycondensation | bis-hydroxyethyl-terephthalate | pet-unit + ethylene-glycol | 560 K, vacuum, antimony catalyst | polycondensation
pet-route | 3 | DMT alternative | dimethyl-terephthalate + ethylene-glycol | bis-hydroxyethyl-terephthalate + methanol | 470 K, transesterification | transesterification
adipic-acid-route | 1 | cyclohexane autoxidation | cyclohexane + oxygen + cobalt | cyclohexanol + cyclohexanone + water + cobalt | 430 K, air, low conversion | autoxidation
adipic-acid-route | 2 | nitric acid oxidation | cyclohexanol + nitric-acid | adipic-acid + nitrous-oxide + water | 350 K, Cu/V catalyst | nitric-acid-oxidation
adipic-acid-route | 3 | ketone oxidation | cyclohexanone + nitric-acid | adipic-acid + nitrous-oxide + water | same reactor | nitric-acid-oxidation
nylon66-route | 1 | adiponitrile hydrogenation | adiponitrile + hydrogen + nickel | hexamethylenediamine + nickel | 400 K, 300 bar, Raney Ni | nitrile-hydrogenation
nylon66-route | 2 | nylon salt formation | adipic-acid + hexamethylenediamine | nylon-66-salt | methanol, ambient, stoichiometry control | proton-transfer
nylon66-route | 3 | melt polycondensation | nylon-66-salt | nylon-66-unit + water | 550 K, autoclave then vacuum | polycondensation
nylon6-route | 1 | oxime formation | cyclohexanone + hydroxylamine | cyclohexanone-oxime + water | pH 5, 340 K | oxime-formation
nylon6-route | 2 | Beckmann rearrangement | cyclohexanone-oxime + disulfuric-acid | caprolactam + sulfuric-acid | oleum, 400 K | beckmann-rearrangement
nylon6-route | 3 | neutralisation | sulfuric-acid + ammonia | ammonium-sulfate | the fertiliser co-product | proton-transfer
